se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se502, 3.9509, 5.1042, 3.7958, 4.1396, 4.2078, 2.818, -3.8656, 1.1566, 2.6063,  0.8,  0.2,  0.4,  1.6,  2846,  2083,  68.0, 
se503, 3.8983, 5.0905, 3.7446, 4.0973, 4.1023, 2.793, -3.857, 1.1464, 2.6143,  0.8,  0.2,  0.4,  1.8,  2846,  2083,  68.0, 
se504, 4.2828, 5.2332, 4.1218, 4.2265, 4.7997, 3.3513, -3.6973, 0.796, 2.694,  0.8,  0.2,  0.6,  0.2,  2838,  2187,  60.0, 
se505, 4.2113, 5.169, 4.0532, 4.131, 4.624, 3.1506, -3.6527, 0.8602, 2.5938,  0.8,  0.2,  0.6,  0.4,  2886,  2167,  61.0, 
se506, 4.1394, 5.1157, 3.9839, 4.0373, 4.4511, 2.9996, -3.6077, 0.901, 2.531,  0.8,  0.2,  0.6,  0.6,  2990,  2175,  61.0, 
se507, 4.0664, 5.0647, 3.9111, 3.9461, 4.2773, 2.8654, -3.5667, 0.9364, 2.4739,  0.8,  0.2,  0.6,  0.8,  2966,  2143,  63.0, 
se508, 3.995, 5.015, 3.8364, 3.8664, 4.111, 2.7374, -3.5333, 0.9759, 2.4085,  0.8,  0.2,  0.6,  1.0,  2902,  2099,  62.0, 
se509, 3.9268, 4.978, 3.768, 3.791, 3.9599, 2.6526, -3.4993, 0.9914, 2.3789,  0.8,  0.2,  0.6,  1.2,  2902,  2087,  66.0, 
se510, 3.8646, 4.9512, 3.7053, 3.7368, 3.8326, 2.5914, -3.4824, 1.0036, 2.3632,  0.8,  0.2,  0.6,  1.4,  2934,  2079,  72.0, 
se511, 3.8059, 4.9261, 3.6456, 3.6825, 3.7142, 2.5398, -3.4611, 1.0058, 2.3481,  0.8,  0.2,  0.6,  1.6,  2862,  2031,  64.0, 
se512, 3.7563, 4.9141, 3.597, 3.6492, 3.6265, 2.5204, -3.4575, 0.9976, 2.3564,  0.8,  0.2,  0.6,  1.8,  2902,  2039,  71.0, 
se513, 4.1118, 5.0394, 3.9568, 3.7386, 4.2127, 3.0038, -3.2863, 0.655, 2.4153,  0.8,  0.2,  0.8,  0.2,  2798,  2103,  58.0, 
se514, 4.0448, 4.979, 3.8911, 3.6558, 4.0617, 2.8277, -3.2488, 0.7154, 2.3276,  0.8,  0.2,  0.8,  0.4,  2870,  2091,  60.0, 
se515, 3.9761, 4.9265, 3.8232, 3.574, 3.911, 2.6882, -3.2119, 0.7601, 2.2683,  0.8,  0.2,  0.8,  0.6,  2958,  2099,  63.0, 
se516, 3.9073, 4.8779, 3.7532, 3.4961, 3.7627, 2.5681, -3.1777, 0.7989, 2.2161,  0.8,  0.2,  0.8,  0.8,  2926,  2079,  62.0, 
se517, 3.8375, 4.8273, 3.6798, 3.4166, 3.6111, 2.4513, -3.1373, 0.8333, 2.156,  0.8,  0.2,  0.8,  1.0,  2918,  2039,  61.0, 
se518, 3.7738, 4.7945, 3.615, 3.3581, 3.4864, 2.3784, -3.1155, 0.8525, 2.1327,  0.8,  0.2,  0.8,  1.2,  2934,  2035,  65.0, 
se519, 3.7135, 4.7683, 3.554, 3.3083, 3.3741, 2.3241, -3.0983, 0.8636, 2.1197,  0.8,  0.2,  0.8,  1.4,  2934,  2015,  72.0, 
se520, 3.6579, 4.7421, 3.4956, 3.2643, 3.2719, 2.2704, -3.0833, 0.8742, 2.0991,  0.8,  0.2,  0.8,  1.6,  2886,  1975,  68.0, 
se521, 3.6116, 4.7331, 3.4499, 3.2402, 3.1994, 2.2554, -3.084, 0.8691, 2.1109,  0.8,  0.2,  0.8,  1.8,  2878,  1967,  68.0, 
se522, 3.9417, 4.843, 3.7962, 3.2968, 3.7021, 2.6785, -2.9067, 0.5315, 2.1535,  0.8,  0.2,  1.0,  0.2,  2702,  1991,  48.0, 
se523, 3.8773, 4.7847, 3.7333, 3.2169, 3.5679, 2.5264, -2.8661, 0.5812, 2.0801,  0.8,  0.2,  1.0,  0.4,  2838,  2007,  53.0, 
se524, 3.8118, 4.7333, 3.6667, 3.1452, 3.4352, 2.3988, -2.8361, 0.6266, 2.0239,  0.8,  0.2,  1.0,  0.6,  2950,  2031,  56.0, 
se525, 3.7457, 4.6846, 3.5967, 3.0785, 3.3033, 2.284, -2.8079, 0.6715, 1.9697,  0.8,  0.2,  1.0,  0.8,  2926,  1999,  56.0, 
se526, 3.681, 4.6412, 3.5285, 3.0147, 3.1781, 2.1899, -2.7794, 0.7035, 1.9267,  0.8,  0.2,  1.0,  1.0,  2926,  1983,  56.0, 
se527, 3.6206, 4.609, 3.4648, 2.9666, 3.0693, 2.1207, -2.7635, 0.7294, 1.9024,  0.8,  0.2,  1.0,  1.2,  2918,  1967,  58.0, 
se528, 3.5633, 4.5831, 3.4049, 2.9263, 2.9711, 2.0673, -2.7515, 0.7465, 1.8851,  0.8,  0.2,  1.0,  1.4,  2950,  1951,  71.0, 
se529, 3.5127, 4.5628, 3.3506, 2.8993, 2.8896, 2.0243, -2.7505, 0.7619, 1.8724,  0.8,  0.2,  1.0,  1.6,  2886,  1911,  68.0, 
se530, 3.4657, 4.5478, 3.3048, 2.8629, 2.8205, 2.0097, -2.7348, 0.7527, 1.8817,  0.8,  0.2,  1.0,  1.8,  2854,  1895,  65.0, 
se531, 3.7693, 4.6421, 3.6402, 2.8801, 3.2492, 2.381, -2.5443, 0.4036, 1.9166,  0.8,  0.2,  1.2,  0.2,  2686,  1907,  52.0, 
se532, 3.7106, 4.5905, 3.5804, 2.8211, 3.1375, 2.249, -2.5184, 0.4568, 1.8538,  0.8,  0.2,  1.2,  0.4,  2822,  1935,  57.0, 
