se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1016, 13.5657, 15.3557, 17.6927, 97.6587, 211.7301, 218.3929, 70.6546, -190.57, 120.3244,  5.0,  3.0,  1.0,  1.8,  3654,  2155,  88.0, 
se1017, 17.0085, 18.4844, 23.0321, 219.329, 444.433, 423.3355, 191.5268, -423.9778, 175.3646,  5.0,  3.0,  1.2,  0.2,  4662,  3295,  183.0, 
se1018, 16.5813, 18.0544, 22.4797, 202.6079, 411.5815, 385.837, 175.7457, -391.5854, 164.6155,  5.0,  3.0,  1.2,  0.4,  4886,  3327,  198.0, 
se1019, 16.0962, 17.5748, 21.814, 184.0669, 375.6272, 349.2226, 158.1694, -356.0701, 153.6594,  5.0,  3.0,  1.2,  0.6,  5070,  3323,  216.0, 
se1020, 15.5856, 17.0779, 21.0912, 165.5719, 340.0987, 315.565, 140.6194, -321.096, 143.5482,  5.0,  3.0,  1.2,  0.8,  5030,  3155,  206.0, 
se1021, 15.0706, 16.5881, 20.3474, 147.9735, 306.9219, 285.7866, 123.9033, -288.5008, 134.713,  5.0,  3.0,  1.2,  1.0,  5222,  3219,  217.0, 
se1022, 14.5633, 16.113, 19.6008, 131.8038, 276.4312, 259.8093, 108.5954, -258.5375, 126.922,  5.0,  3.0,  1.2,  1.2,  5230,  3187,  215.0, 
se1023, 14.0711, 15.6645, 18.8654, 117.0977, 249.1157, 237.6392, 94.6358, -231.8038, 120.5507,  5.0,  3.0,  1.2,  1.4,  5270,  3111,  217.0, 
se1024, 13.603, 15.2517, 18.1533, 103.986, 225.0044, 219.2119, 82.1976, -208.2143, 115.5543,  5.0,  3.0,  1.2,  1.6,  5286,  3079,  216.0, 
se1025, 13.1302, 14.8247, 17.4048, 91.6017, 201.2198, 201.3572, 70.3955, -184.7788, 109.7283,  5.0,  3.0,  1.2,  1.8,  2966,  1775,  60.0, 
se1026, 16.5924, 18.0307, 22.8721, 212.9031, 435.744, 402.4614, 191.494, -420.4564, 167.0776,  5.0,  3.0,  1.4,  0.2,  4558,  3219,  187.0, 
se1027, 16.1744, 17.6098, 22.3239, 196.4439, 403.8177, 367.0876, 175.7138, -388.7796, 156.8454,  5.0,  3.0,  1.4,  0.4,  4678,  3135,  189.0, 
se1028, 15.6982, 17.1371, 21.6597, 178.3167, 368.2663, 332.153, 158.3569, -353.5971, 146.6136,  5.0,  3.0,  1.4,  0.6,  5062,  3275,  219.0, 
se1029, 15.1416, 16.6006, 20.8409, 157.3277, 329.8394, 296.9897, 137.9396, -315.408, 136.4705,  5.0,  3.0,  1.4,  0.8,  3134,  2043,  74.0, 
se1030, 14.6393, 16.1184, 20.1096, 140.6068, 297.6783, 268.8311, 121.8792, -283.7177, 127.7894,  5.0,  3.0,  1.4,  1.0,  3158,  2011,  73.0, 
se1031, 14.1811, 15.6813, 19.4409, 126.9425, 270.1947, 246.1242, 108.9778, -256.6329, 120.2074,  5.0,  3.0,  1.4,  1.2,  5446,  3255,  243.0, 
se1032, 13.6931, 15.2292, 18.7035, 112.6119, 243.0408, 224.5791, 95.2318, -229.8292, 113.615,  5.0,  3.0,  1.4,  1.4,  5182,  2999,  214.0, 
se1033, 13.2284, 14.8139, 17.9865, 99.7553, 219.0607, 206.6052, 82.835, -206.2104, 108.504,  5.0,  3.0,  1.4,  1.6,  5350,  3107,  230.0, 
